54684.5	1.68e-7	4.20e-8
54687.5	8.97e-8	3.14e-8
54690.5	1.40e-7	4.48e-8
54693.5	2.02e-7	4.60e-8
54696.5	1.53e-7	4.20e-8
54699.5	1.79e-7	4.30e-8
54702.5	2.24e-7	4.40e-8
54705.5	2.01e-7	4.00e-8
54708.5	2.88e-7	4.10e-8
54711.5	1.22e-7	2.99e-8
54714.5	1.77e-7	3.20e-8
54717.5	1.53e-7	3.20e-8
54720.5	1.54e-7	3.20e-8
54723.5	1.22e-7	2.88e-8
54726.5	9.28e-8	2.68e-8
54729.5	1.89e-7	3.50e-8
54732.5	1.24e-7	3.14e-8
54735.5	1.73e-7	3.70e-8
54738.5	7.07e-8	2.64e-8
54741.5	1.50e-7	3.70e-8
54744.5	1.26e-7	4.08e-8
54747.5	1.09e-7	3.72e-8
54750.5	1.27e-7	3.49e-8
54753.5	1.76e-7	4.10e-8
54756.5	8.24e-8	3.08e-8
54759.5	9.08e-8	3.07e-8
54762.5	1.71e-7	3.60e-8
54765.5	1.25e-7	2.96e-8
54768.5	1.41e-7	3.00e-8
54770.5	1.14e-7	2.71e-8
54773.5	1.30e-7	2.90e-8
54776.5	6.67e-8	2.21e-8
54779.5	1.17e-7	2.71e-8
54782.5	1.39e-7	3.10e-8
54785.5	8.24e-8	2.75e-8
54788.5	1.07e-7	3.01e-8
54791.5	6.63e-8	2.89e-8
54794.5	1.97e-7	4.20e-8
54797.5	1.67e-7	3.90e-8
54801.5	1.67e-7	4.80e-8
54804.5	1.49e-7	3.70e-8
54807.5	2.12e-7	4.30e-8
54810.5	1.04e-7	2.89e-8
54813.5	1.71e-7	3.70e-8
54816.5	1.90e-7	4.00e-8
54819.5	1.63e-7	3.10e-8
54822.5	1.12e-7	2.63e-8
54825.5	1.07e-7	2.78e-8
54828.5	1.19e-7	2.63e-8
54831.5	7.06e-8	2.62e-8
54833.5	1.61e-7	3.40e-8
54836.5	1.21e-7	2.91e-8
54839.5	1.63e-7	3.50e-8
54842.5	4.81e-8	2.65e-8
54845.5	8.73e-8	2.98e-8
54848.5	2.00e-7	4.10e-8
54851.5	1.23e-7	4.07e-8
54854.5	2.01e-7	4.10e-8
54857.5	9.28e-8	3.40e-8
54860.5	1.46e-7	3.40e-8
54863.5	1.44e-7	4.73e-8
54866.5	1.10e-7	2.74e-8
54869.5	1.48e-7	3.00e-8
